codigo_distrito,cod_ibge,distrito,regioes,codigo_subprefeitura,subprefeituras,localizacao_busca,location,geometry
80024,24,Cidade Lider,Leste,27.0,Itaquera,"Cidade Lider, São Paulo, SP, Brasil","Cidade Líder, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.4943334 -23.5627696)
80025,25,Cidade Tiradentes,Leste,31.0,Cidade Tiradentes,"Cidade Tiradentes, São Paulo, SP, Brasil","Cidade Tiradentes, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.4092065 -23.5824973)
80026,26,Consolação,Centro,9.0,Sé,"Consolação, São Paulo, SP, Brasil","Consolação, Ciclovia da Avenida Paulista, Jardim Paulista, Vila Mariana, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 01311-923, Brasil",POINT (-46.6605373 -23.557818)
80027,27,Cursino,Sul,13.0,Ipiranga,"Cursino, São Paulo, SP, Brasil","Cursino, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6195629 -23.6323011)
80028,28,Ermelino Matarazzo,Leste,22.0,Ermelino Matarazzo,"Ermelino Matarazzo, São Paulo, SP, Brasil","Ermelino Matarazzo, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.4824048 -23.4902552)
80029,29,Freguesia do Ó,Norte,3.0,Freguesia/Brasilândia,"Freguesia do Ó, São Paulo, SP, Brasil","Freguesia do Ó, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 02803-050, Brasil",POINT (-46.6951317 -23.4874636)
80030,30,Grajaú,Sul,19.0,Capela do Socorro,"Grajaú, São Paulo, SP, Brasil","Grajaú, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6737655 -23.7799713)
80031,31,Guaianases,Leste,28.0,Guaianases,"Guaianases, São Paulo, SP, Brasil","Guaianases, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.4115152 -23.5440052)
80032,32,Moema,Sul,12.0,Vila Mariana,"Moema, São Paulo, SP, Brasil","Moema, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6628884 -23.597085)
80033,33,Iguatemi,Leste,30.0,São Mateus,"Iguatemi, São Paulo, SP, Brasil","Iguatemi, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.418994 -23.6181809)
80034,34,Ipiranga,Sul,13.0,Ipiranga,"Ipiranga, São Paulo, SP, Brasil","Ipiranga, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6061621 -23.5892726)
